instance,snapshot,seed,heuristic,hv2d
abz6,0,2,mo_dyn_hd_cacd,1.1593447160016828
abz6,0,3,mo_dyn_hd_cacd,1.1593447160016828
abz6,0,4,mo_dyn_hd_cacd,1.1593447160016828
abz6,0,0,nsga2,1.2099442134686307
abz6,0,0,nsga3,1.2099482760429112
abz6,0,1,nsga2,1.2099472665547564
abz6,0,1,nsga3,1.2099482760429112
abz6,0,2,nsga2,1.2099440903603191
abz6,0,2,nsga3,1.2099482760429112
abz6,0,3,nsga2,1.2099451737134606
abz6,0,3,nsga3,1.2099482760429112
abz6,0,4,nsga2,1.2099482760429112
abz6,0,4,nsga3,1.2099482760429112
abz6,0,0,dom,1.1581556817612724
abz6,0,1,dom,1.1581556817612724
abz6,0,2,dom,1.1581556817612724
abz6,0,3,dom,1.1581556817612724
abz6,0,4,dom,1.1581556817612724
abz6,0,0,wdeg,1.1756052157249104
abz6,0,1,wdeg,1.1756052157249104
abz6,0,2,wdeg,1.1756052157249104
abz6,0,3,wdeg,1.1756052157249104
abz6,0,4,wdeg,1.1756052157249104
abz6,0,0,activity,1.1341215901890753
abz6,0,1,activity,1.1341215901890753
abz6,0,2,activity,1.1341215901890753
abz6,0,3,activity,1.1341215901890753
abz6,0,4,activity,1.1341215901890753
abz6,0,0,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,1,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,2,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,3,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,4,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,0,nsga2,1.2099442134686307
abz6,0,0,nsga3,1.2099482760429112
abz6,0,1,nsga2,1.2099472665547564
abz6,0,1,nsga3,1.2099482760429112
abz6,0,2,nsga2,1.2099451737134606
abz6,0,2,nsga3,1.2099482760429112
abz6,0,3,nsga2,1.2099451737134606
abz6,0,3,nsga3,1.2099482760429112
abz6,0,4,nsga2,1.2099482760429112
abz6,0,4,nsga3,1.2099482760429112
abz6,1,0,dom,0.42220775018202417
abz6,1,1,dom,0.42220775018202417
abz6,1,2,dom,0.42220775018202417
abz6,1,3,dom,0.42220775018202417
abz6,1,4,dom,0.42220775018202417
abz6,1,0,wdeg,0.6156809280171114
abz6,1,1,wdeg,0.6156809280171114
abz6,1,2,wdeg,0.6156809280171114
abz6,1,3,wdeg,0.6156809280171114
abz6,1,4,wdeg,0.6156809280171114
abz6,1,0,activity,0.08356240417836591
abz6,1,1,activity,0.08356240417836591
abz6,1,2,activity,0.08356240417836591
abz6,1,3,activity,0.08356240417836591
abz6,1,4,activity,0.08356240417836591
abz6,1,0,mo_dyn_hd_cacd,0.4347310088180569
abz6,1,1,mo_dyn_hd_cacd,0.4347310088180569
abz6,1,2,mo_dyn_hd_cacd,0.4347310088180569
abz6,1,3,mo_dyn_hd_cacd,0.4347310088180569
abz6,1,4,mo_dyn_hd_cacd,0.4347310088180569
abz6,1,0,nsga2,1.1335621082042067
abz6,1,0,nsga3,1.1348643945059305
abz6,1,1,nsga2,1.1345407960915628
abz6,1,1,nsga3,1.1348643945059305
abz6,1,2,nsga2,1.1335226449829423
abz6,1,2,nsga3,1.1348643945059305
abz6,1,3,nsga2,1.1338699213300685
abz6,1,3,nsga3,1.1348643945059305
abz6,1,4,nsga2,1.1348643945059305
abz6,1,4,nsga3,1.1348643945059305
abz6,1,0,dom,0.42220775018202417
abz6,1,1,dom,0.42220775018202417
abz6,1,2,dom,0.42220775018202417
abz6,1,3,dom,0.42220775018202417
abz6,1,4,dom,0.42220775018202417
abz6,1,0,wdeg,0.6156809280171114
abz6,1,1,wdeg,0.6156809280171114
abz6,1,2,wdeg,0.6156809280171114
abz6,1,3,wdeg,0.6156809280171114
abz6,1,4,wdeg,0.6156809280171114
abz6,1,0,activity,0.6717021276595747
abz6,1,1,activity,0.6717021276595747
abz6,1,2,activity,0.6717021276595747
abz6,1,3,activity,0.6717021276595747
abz6,1,4,activity,0.6717021276595747
abz6,1,0,mo_dyn_hd_cacd,0.760034826292766
abz6,1,1,mo_dyn_hd_cacd,0.760034826292766
abz6,1,2,mo_dyn_hd_cacd,0.760034826292766
abz6,1,3,mo_dyn_hd_cacd,0.760034826292766
abz6,1,4,mo_dyn_hd_cacd,0.760034826292766
abz6,1,0,nsga2,1.1335621082042067
abz6,1,0,nsga3,1.1348643945059305
abz6,1,1,nsga2,1.1345407960915628
abz6,1,1,nsga3,1.1348643945059305
abz6,1,2,nsga2,1.1338699213300685
abz6,1,2,nsga3,1.1348643945059305
abz6,1,3,nsga2,1.1338699213300685
abz6,1,3,nsga3,1.1348643945059305
abz6,1,4,nsga2,1.1348643945059305
abz6,1,4,nsga3,1.1348643945059305
abz6,2,0,dom,1.1258582961874468
abz6,2,1,dom,1.1258582961874468
abz6,2,2,dom,1.1258582961874468
abz6,2,3,dom,1.1258582961874468
abz6,2,4,dom,1.1258582961874468
abz6,2,0,wdeg,1.1581980860662302
abz6,2,1,wdeg,1.1581980860662302
abz6,2,2,wdeg,1.1581980860662302
abz6,2,3,wdeg,1.1581980860662302
abz6,2,4,wdeg,1.1581980860662302
abz6,2,0,activity,0.19129705018990883
abz6,2,1,activity,0.19129705018990883
abz6,2,2,activity,0.19129705018990883
abz6,2,3,activity,0.19129705018990883
abz6,2,4,activity,0.19129705018990883
abz6,2,0,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,1,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,2,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,3,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,4,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,0,nsga2,1.209934511012835
abz6,2,0,nsga3,1.2099183082752036
abz6,2,1,nsga2,1.2070359090542444
abz6,2,1,nsga3,1.2099310506879153
abz6,2,2,nsga2,1.2070359090542444
abz6,2,2,nsga3,1.2099183082752036
abz6,2,3,nsga2,1.2070475642702752
abz6,2,3,nsga3,1.2099183082752036
abz6,2,4,nsga2,1.207044676769413
abz6,2,4,nsga3,1.2099311208296366
abz6,2,0,dom,1.1258582961874468
abz6,2,1,dom,1.1258582961874468
abz6,2,2,dom,1.1258582961874468
abz6,2,3,dom,1.1258582961874468
abz6,2,4,dom,1.1258582961874468
abz6,2,0,wdeg,1.1581980860662302
abz6,2,1,wdeg,1.1581980860662302
abz6,2,2,wdeg,1.1581980860662302
abz6,2,3,wdeg,1.1581980860662302
abz6,2,4,wdeg,1.1581980860662302
abz6,2,0,activity,1.072246432416698
abz6,2,1,activity,1.072246432416698
abz6,2,2,activity,1.072246432416698
abz6,2,3,activity,1.072246432416698
abz6,2,4,activity,1.072246432416698
abz6,2,0,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,1,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,2,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,3,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,4,mo_dyn_hd_cacd,1.1279776142696318
abz6,2,0,nsga2,1.209934511012835
abz6,2,0,nsga3,1.2099183082752036
abz6,2,1,nsga2,1.2070359090542444
abz6,2,1,nsga3,1.2099310506879153
abz6,2,2,nsga2,1.2070440805647815
abz6,2,2,nsga3,1.2099183082752036
abz6,2,3,nsga2,1.2070475642702752
abz6,2,3,nsga3,1.2099183082752036
abz6,2,4,nsga2,1.207044676769413
abz6,2,4,nsga3,1.2099311208296366
abz6,3,0,dom,1.1203043097059715
abz6,3,1,dom,1.1203043097059715
abz6,3,2,dom,1.1203043097059715
abz6,3,3,dom,1.1203043097059715
abz6,3,4,dom,1.1203043097059715
abz6,3,0,wdeg,1.1630902578447644
abz6,3,1,wdeg,1.1630902578447644
abz6,3,2,wdeg,1.1630902578447644
abz6,3,3,wdeg,1.1630902578447644
abz6,3,4,wdeg,1.1630902578447644
